name,mae,rmse,wape,smape,split
Seasonal naive,474.83468002585647,1095.8132263146722,0.027358134621505426,0.03216341501905767,validation
Seasonal naive,1008.3341952165482,2471.023844005304,0.05899573558271769,0.06294056507941673,test
Ridge,1567.799458280328,2759.572510463869,0.09033053069506394,0.1423517653037574,validation
Ridge,3729.464867873418,8878.200874756485,0.2182039687376105,0.2783792143570976,test
HistGradientBoosting,1421.036236556885,2406.4443057355616,0.08187460246088954,0.10702413884061807,validation
HistGradientBoosting,1806.615150595621,3298.9471507148837,0.10570165152574384,0.12099097112198602,test
